Ocular artifact correction,Muscle artifact correction,Low-pass filter,High-pass filter,Reference electrode(s),Detrending,Baseline interval,Autoreject,experiment,decoder,performance
None,None,20 Hz,0.1 Hz,Cz,None,None,Interpolate,N2pc,EEGNet,0.663841187953949
None,None,20 Hz,0.1 Hz,Cz,None,None,Interpolate,N400,EEGNet,0.6695833206176758
None,None,20 Hz,0.1 Hz,Cz,None,None,Interpolate,P3,EEGNet,0.6817187666893005
None,None,20 Hz,0.1 Hz,Cz,None,None,Int. or reject,ERN,EEGNet,0.8637346029281616
None,None,20 Hz,0.1 Hz,Cz,None,None,Int. or reject,LRP,EEGNet,0.810875415802002
None,None,20 Hz,0.1 Hz,Cz,None,None,Int. or reject,MMN,EEGNet,0.565911054611206
None,None,20 Hz,0.1 Hz,Cz,None,None,Int. or reject,N170,EEGNet,0.7343829274177551
None,None,20 Hz,0.1 Hz,Cz,None,None,Int. or reject,N2pc,EEGNet,0.6694356799125671
None,None,20 Hz,0.1 Hz,Cz,None,None,Int. or reject,N400,EEGNet,0.6625047326087952
None,None,20 Hz,0.1 Hz,Cz,None,None,Int. or reject,P3,EEGNet,0.6763507723808289
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,False,ERN,EEGNet,0.8791952133178711
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,False,LRP,EEGNet,0.8289080858230591
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,False,MMN,EEGNet,0.5736896395683289
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,False,N170,EEGNet,0.7540624737739563
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,False,N2pc,EEGNet,0.6745400428771973
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,False,N400,EEGNet,0.6645833253860474
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,False,P3,EEGNet,0.6885937452316284
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,Interpolate,ERN,EEGNet,0.8568139672279358
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,Interpolate,LRP,EEGNet,0.8193207383155823
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,Interpolate,MMN,EEGNet,0.5705648064613342
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,Interpolate,N170,EEGNet,0.7454687356948853
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,Interpolate,N2pc,EEGNet,0.6700963973999023
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,Interpolate,N400,EEGNet,0.6637499928474426
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,Interpolate,P3,EEGNet,0.6803905963897705
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,Int. or reject,ERN,EEGNet,0.8570166826248169
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,Int. or reject,LRP,EEGNet,0.8245199918746948
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,Int. or reject,MMN,EEGNet,0.5712859630584717
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,Int. or reject,N170,EEGNet,0.7450810670852661
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,Int. or reject,N2pc,EEGNet,0.6689876317977905
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,Int. or reject,N400,EEGNet,0.6697520613670349
None,None,20 Hz,0.1 Hz,Cz,linear,200ms,Int. or reject,P3,EEGNet,0.6688230633735657
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,False,ERN,EEGNet,0.8803920745849609
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,False,LRP,EEGNet,0.8293282985687256
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,False,MMN,EEGNet,0.5733134150505066
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,False,N170,EEGNet,0.7540624737739563
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,False,N2pc,EEGNet,0.6745400428771973
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,False,N400,EEGNet,0.6647916436195374
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,False,P3,EEGNet,0.6882030963897705
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,Interpolate,ERN,EEGNet,0.8642726540565491
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,Interpolate,LRP,EEGNet,0.8215352296829224
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,Interpolate,MMN,EEGNet,0.5658435225486755
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,Interpolate,N170,EEGNet,0.7496874928474426
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,Interpolate,N2pc,EEGNet,0.6652624011039734
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,Interpolate,N400,EEGNet,0.6600000262260437
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,Interpolate,P3,EEGNet,0.6860937476158142
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,Int. or reject,ERN,EEGNet,0.8543117046356201
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,Int. or reject,LRP,EEGNet,0.8248670101165771
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,Int. or reject,MMN,EEGNet,0.5702226758003235
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,Int. or reject,N170,EEGNet,0.7503513097763062
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,Int. or reject,N2pc,EEGNet,0.6634435653686523
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,Int. or reject,N400,EEGNet,0.6597077250480652
None,None,20 Hz,0.1 Hz,Cz,linear,400ms,Int. or reject,P3,EEGNet,0.6768385171890259
None,None,20 Hz,0.1 Hz,Cz,linear,None,False,ERN,EEGNet,0.8722354769706726
None,None,20 Hz,0.1 Hz,Cz,linear,None,False,LRP,EEGNet,0.8291115164756775
None,None,20 Hz,0.1 Hz,Cz,linear,None,False,MMN,EEGNet,0.5735805630683899
None,None,20 Hz,0.1 Hz,Cz,linear,None,False,N170,EEGNet,0.75390625
None,None,20 Hz,0.1 Hz,Cz,linear,None,False,N2pc,EEGNet,0.6746181845664978
None,None,20 Hz,0.1 Hz,Cz,linear,None,False,N400,EEGNet,0.6645833253860474
None,None,20 Hz,0.1 Hz,Cz,linear,None,False,P3,EEGNet,0.6890624761581421
None,None,20 Hz,0.1 Hz,Cz,linear,None,Interpolate,ERN,EEGNet,0.8599618077278137
None,None,20 Hz,0.1 Hz,Cz,linear,None,Interpolate,LRP,EEGNet,0.8179720640182495
None,None,20 Hz,0.1 Hz,Cz,linear,None,Interpolate,MMN,EEGNet,0.5687932968139648
None,None,20 Hz,0.1 Hz,Cz,linear,None,Interpolate,N170,EEGNet,0.7417187690734863
None,None,20 Hz,0.1 Hz,Cz,linear,None,Interpolate,N2pc,EEGNet,0.6626650094985962
None,None,20 Hz,0.1 Hz,Cz,linear,None,Interpolate,N400,EEGNet,0.6656249761581421
None,None,20 Hz,0.1 Hz,Cz,linear,None,Interpolate,P3,EEGNet,0.681640625
None,None,20 Hz,0.1 Hz,Cz,linear,None,Int. or reject,ERN,EEGNet,0.8574228882789612
None,None,20 Hz,0.1 Hz,Cz,linear,None,Int. or reject,LRP,EEGNet,0.8246181011199951
None,None,20 Hz,0.1 Hz,Cz,linear,None,Int. or reject,MMN,EEGNet,0.5709119439125061
None,None,20 Hz,0.1 Hz,Cz,linear,None,Int. or reject,N170,EEGNet,0.7450982332229614
None,None,20 Hz,0.1 Hz,Cz,linear,None,Int. or reject,N2pc,EEGNet,0.670150637626648
None,None,20 Hz,0.1 Hz,Cz,linear,None,Int. or reject,N400,EEGNet,0.6712051630020142
None,None,20 Hz,0.1 Hz,Cz,linear,None,Int. or reject,P3,EEGNet,0.6724367737770081
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,False,ERN,EEGNet,0.8727094531059265
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,False,LRP,EEGNet,0.8221511244773865
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,False,MMN,EEGNet,0.5740569829940796
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,False,N170,EEGNet,0.7509375214576721
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,False,N2pc,EEGNet,0.6710311770439148
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,False,N400,EEGNet,0.6754166483879089
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,False,P3,EEGNet,0.6920312643051147
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,Interpolate,ERN,EEGNet,0.856822669506073
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,Interpolate,LRP,EEGNet,0.8056662082672119
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,Interpolate,MMN,EEGNet,0.5697920322418213
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,Interpolate,N170,EEGNet,0.7451562285423279
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,Interpolate,N2pc,EEGNet,0.6618117094039917
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,Interpolate,N400,EEGNet,0.6625000238418579
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,Interpolate,P3,EEGNet,0.682421863079071
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,Int. or reject,ERN,EEGNet,0.8526962995529175
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,Int. or reject,LRP,EEGNet,0.8210247159004211
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,Int. or reject,MMN,EEGNet,0.5738552808761597
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,Int. or reject,N170,EEGNet,0.7337400317192078
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,Int. or reject,N2pc,EEGNet,0.6654337644577026
None,None,20 Hz,0.1 Hz,P9P10,None,200ms,Int. or reject,N400,EEGNet,0.661227285861969
