Ocular artifact correction,Muscle artifact correction,Low-pass filter,High-pass filter,Reference electrode(s),Detrending,Baseline interval,Autoreject,experiment,decoder,performance
None,ICA,45 Hz,None,average,linear,None,False,P3,EEGNet,0.686328113079071
None,ICA,45 Hz,None,average,linear,None,Interpolate,ERN,EEGNet,0.8525159358978271
None,ICA,45 Hz,None,average,linear,None,Interpolate,LRP,EEGNet,0.7709712386131287
None,ICA,45 Hz,None,average,linear,None,Interpolate,MMN,EEGNet,0.5620564818382263
None,ICA,45 Hz,None,average,linear,None,Interpolate,N170,EEGNet,0.750781238079071
None,ICA,45 Hz,None,average,linear,None,Interpolate,N2pc,EEGNet,0.6478661298751831
None,ICA,45 Hz,None,average,linear,None,Interpolate,N400,EEGNet,0.6458333134651184
None,ICA,45 Hz,None,average,linear,None,Interpolate,P3,EEGNet,0.6733593940734863
None,ICA,45 Hz,None,average,linear,None,Int. or reject,ERN,EEGNet,0.845151424407959
None,ICA,45 Hz,None,average,linear,None,Int. or reject,LRP,EEGNet,0.766932487487793
None,ICA,45 Hz,None,average,linear,None,Int. or reject,MMN,EEGNet,0.568442702293396
None,ICA,45 Hz,None,average,linear,None,Int. or reject,N170,EEGNet,0.74842369556427
None,ICA,45 Hz,None,average,linear,None,Int. or reject,N2pc,EEGNet,0.6421146392822266
None,ICA,45 Hz,None,average,linear,None,Int. or reject,N400,EEGNet,0.6499795913696289
None,ICA,45 Hz,None,average,linear,None,Int. or reject,P3,EEGNet,0.6745641231536865
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,False,ERN,EEGNet,0.8700065612792969
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,False,LRP,EEGNet,0.7732406258583069
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,False,MMN,EEGNet,0.5601009130477905
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,False,N170,EEGNet,0.7331249713897705
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,False,N2pc,EEGNet,0.6570026278495789
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,False,N400,EEGNet,0.6616666913032532
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,False,P3,EEGNet,0.6795312762260437
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,Interpolate,ERN,EEGNet,0.869186520576477
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,Interpolate,LRP,EEGNet,0.7588707804679871
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,Interpolate,MMN,EEGNet,0.5553343296051025
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,Interpolate,N170,EEGNet,0.73046875
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,Interpolate,N2pc,EEGNet,0.6484127044677734
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,Interpolate,N400,EEGNet,0.6675000190734863
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,Interpolate,P3,EEGNet,0.6711719036102295
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,Int. or reject,ERN,EEGNet,0.8499324917793274
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,Int. or reject,LRP,EEGNet,0.7641275525093079
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,Int. or reject,MMN,EEGNet,0.553447425365448
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,Int. or reject,N170,EEGNet,0.723568856716156
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,Int. or reject,N2pc,EEGNet,0.6395828723907471
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,Int. or reject,N400,EEGNet,0.656965970993042
None,ICA,6 Hz,0.1 Hz,Cz,None,200ms,Int. or reject,P3,EEGNet,0.666018009185791
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,False,ERN,EEGNet,0.8681799173355103
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,False,LRP,EEGNet,0.7726595401763916
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,False,MMN,EEGNet,0.5605224967002869
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,False,N170,EEGNet,0.7331249713897705
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,False,N2pc,EEGNet,0.6569244861602783
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,False,N400,EEGNet,0.6637499928474426
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,False,P3,EEGNet,0.6791406273841858
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,Interpolate,ERN,EEGNet,0.8628550171852112
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,Interpolate,LRP,EEGNet,0.7607269883155823
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,Interpolate,MMN,EEGNet,0.5513648390769958
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,Interpolate,N170,EEGNet,0.7300000190734863
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,Interpolate,N2pc,EEGNet,0.6449121832847595
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,Interpolate,N400,EEGNet,0.6606249809265137
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,Interpolate,P3,EEGNet,0.6762499809265137
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,Int. or reject,ERN,EEGNet,0.8531377911567688
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,Int. or reject,LRP,EEGNet,0.758621335029602
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,Int. or reject,MMN,EEGNet,0.5525341629981995
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,Int. or reject,N170,EEGNet,0.7149685621261597
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,Int. or reject,N2pc,EEGNet,0.6394138932228088
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,Int. or reject,N400,EEGNet,0.6556203365325928
None,ICA,6 Hz,0.1 Hz,Cz,None,400ms,Int. or reject,P3,EEGNet,0.6741756796836853
None,ICA,6 Hz,0.1 Hz,Cz,None,None,False,ERN,EEGNet,0.8665999174118042
None,ICA,6 Hz,0.1 Hz,Cz,None,None,False,LRP,EEGNet,0.7736965417861938
None,ICA,6 Hz,0.1 Hz,Cz,None,None,False,MMN,EEGNet,0.5603680610656738
None,ICA,6 Hz,0.1 Hz,Cz,None,None,False,N170,EEGNet,0.733593761920929
None,ICA,6 Hz,0.1 Hz,Cz,None,None,False,N2pc,EEGNet,0.6570026278495789
None,ICA,6 Hz,0.1 Hz,Cz,None,None,False,N400,EEGNet,0.6635416746139526
None,ICA,6 Hz,0.1 Hz,Cz,None,None,False,P3,EEGNet,0.6796093583106995
None,ICA,6 Hz,0.1 Hz,Cz,None,None,Interpolate,ERN,EEGNet,0.8601768612861633
None,ICA,6 Hz,0.1 Hz,Cz,None,None,Interpolate,LRP,EEGNet,0.75706946849823
None,ICA,6 Hz,0.1 Hz,Cz,None,None,Interpolate,MMN,EEGNet,0.5594511032104492
None,ICA,6 Hz,0.1 Hz,Cz,None,None,Interpolate,N170,EEGNet,0.7301562428474426
None,ICA,6 Hz,0.1 Hz,Cz,None,None,Interpolate,N2pc,EEGNet,0.6444306969642639
None,ICA,6 Hz,0.1 Hz,Cz,None,None,Interpolate,N400,EEGNet,0.6627083420753479
None,ICA,6 Hz,0.1 Hz,Cz,None,None,Interpolate,P3,EEGNet,0.6827343702316284
None,ICA,6 Hz,0.1 Hz,Cz,None,None,Int. or reject,ERN,EEGNet,0.8514768481254578
None,ICA,6 Hz,0.1 Hz,Cz,None,None,Int. or reject,LRP,EEGNet,0.7578184604644775
None,ICA,6 Hz,0.1 Hz,Cz,None,None,Int. or reject,MMN,EEGNet,0.5532179474830627
None,ICA,6 Hz,0.1 Hz,Cz,None,None,Int. or reject,N170,EEGNet,0.7221950888633728
None,ICA,6 Hz,0.1 Hz,Cz,None,None,Int. or reject,N2pc,EEGNet,0.6493467688560486
None,ICA,6 Hz,0.1 Hz,Cz,None,None,Int. or reject,N400,EEGNet,0.6529592275619507
None,ICA,6 Hz,0.1 Hz,Cz,None,None,Int. or reject,P3,EEGNet,0.669182538986206
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,False,ERN,EEGNet,0.8710934519767761
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,False,LRP,EEGNet,0.7793929576873779
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,False,MMN,EEGNet,0.5638108849525452
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,False,N170,EEGNet,0.7364062666893005
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,False,N2pc,EEGNet,0.6531645655632019
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,False,N400,EEGNet,0.6606249809265137
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,False,P3,EEGNet,0.6939843893051147
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,Interpolate,ERN,EEGNet,0.8561396598815918
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,Interpolate,LRP,EEGNet,0.7707560658454895
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,Interpolate,MMN,EEGNet,0.5570725202560425
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,Interpolate,N170,EEGNet,0.7332812547683716
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,Interpolate,N2pc,EEGNet,0.6498899459838867
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,Interpolate,N400,EEGNet,0.6554166674613953
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,Interpolate,P3,EEGNet,0.6782812476158142
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,Int. or reject,ERN,EEGNet,0.850002110004425
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,Int. or reject,LRP,EEGNet,0.7773381471633911
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,Int. or reject,MMN,EEGNet,0.5600894093513489
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,Int. or reject,N170,EEGNet,0.7265323400497437
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,Int. or reject,N2pc,EEGNet,0.6478101015090942
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,Int. or reject,N400,EEGNet,0.6487122774124146
None,ICA,6 Hz,0.1 Hz,Cz,linear,200ms,Int. or reject,P3,EEGNet,0.6743908524513245
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,False,ERN,EEGNet,0.8711702823638916
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,False,LRP,EEGNet,0.778616189956665
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,False,MMN,EEGNet,0.5633869171142578
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,False,N170,EEGNet,0.7376562356948853
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,False,N2pc,EEGNet,0.6528520584106445
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,False,N400,EEGNet,0.6608333587646484
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,False,P3,EEGNet,0.6928125023841858
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,Interpolate,ERN,EEGNet,0.8507799506187439
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,Interpolate,LRP,EEGNet,0.769694447517395
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,Interpolate,MMN,EEGNet,0.5549627542495728
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,Interpolate,N170,EEGNet,0.7320312261581421
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,Interpolate,N2pc,EEGNet,0.6512768268585205
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,Interpolate,N400,EEGNet,0.6572916507720947
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,Interpolate,P3,EEGNet,0.6781250238418579
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,Int. or reject,ERN,EEGNet,0.8530528545379639
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,Int. or reject,LRP,EEGNet,0.7719745635986328
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,Int. or reject,MMN,EEGNet,0.5626539587974548
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,Int. or reject,N170,EEGNet,0.7319741249084473
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,Int. or reject,N2pc,EEGNet,0.6471322178840637
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,Int. or reject,N400,EEGNet,0.6485012769699097
None,ICA,6 Hz,0.1 Hz,Cz,linear,400ms,Int. or reject,P3,EEGNet,0.6773928999900818
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,False,ERN,EEGNet,0.866304874420166
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,False,LRP,EEGNet,0.7795699834823608
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,False,MMN,EEGNet,0.5639800429344177
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,False,N170,EEGNet,0.7378125190734863
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,False,N2pc,EEGNet,0.6529302000999451
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,False,N400,EEGNet,0.6606249809265137
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,False,P3,EEGNet,0.6957812309265137
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,Interpolate,ERN,EEGNet,0.8511701226234436
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,Interpolate,LRP,EEGNet,0.7659624814987183
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,Interpolate,MMN,EEGNet,0.5621306300163269
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,Interpolate,N170,EEGNet,0.7307812571525574
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,Interpolate,N2pc,EEGNet,0.6497973203659058
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,Interpolate,N400,EEGNet,0.6520833373069763
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,Interpolate,P3,EEGNet,0.6820312738418579
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,Int. or reject,ERN,EEGNet,0.8599427938461304
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,Int. or reject,LRP,EEGNet,0.7726887464523315
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,Int. or reject,MMN,EEGNet,0.5576934814453125
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,Int. or reject,N170,EEGNet,0.726892352104187
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,Int. or reject,N2pc,EEGNet,0.6469510793685913
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,Int. or reject,N400,EEGNet,0.6510115265846252
None,ICA,6 Hz,0.1 Hz,Cz,linear,None,Int. or reject,P3,EEGNet,0.6835495233535767
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,False,ERN,EEGNet,0.864827573299408
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,False,LRP,EEGNet,0.7680143713951111
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,False,MMN,EEGNet,0.5651952624320984
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,False,N170,EEGNet,0.735156238079071
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,False,N2pc,EEGNet,0.6570829749107361
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,False,N400,EEGNet,0.6675000190734863
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,False,P3,EEGNet,0.6909375190734863
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,Interpolate,ERN,EEGNet,0.849801242351532
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,Interpolate,LRP,EEGNet,0.7560598850250244
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,Interpolate,MMN,EEGNet,0.5547330975532532
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,Interpolate,N170,EEGNet,0.7245312333106995
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,Interpolate,N2pc,EEGNet,0.6506879329681396
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,Interpolate,N400,EEGNet,0.6575000286102295
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,Interpolate,P3,EEGNet,0.6776562333106995
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,Int. or reject,ERN,EEGNet,0.8452025055885315
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,Int. or reject,LRP,EEGNet,0.7586440443992615
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,Int. or reject,MMN,EEGNet,0.5517527461051941
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,Int. or reject,N170,EEGNet,0.7208424806594849
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,Int. or reject,N2pc,EEGNet,0.6442083716392517
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,Int. or reject,N400,EEGNet,0.6578519940376282
None,ICA,6 Hz,0.1 Hz,P9P10,None,200ms,Int. or reject,P3,EEGNet,0.6768760085105896
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,False,ERN,EEGNet,0.8658994436264038
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,False,LRP,EEGNet,0.7695466876029968
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,False,MMN,EEGNet,0.5643632411956787
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,False,N170,EEGNet,0.7364062666893005
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,False,N2pc,EEGNet,0.6565361022949219
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,False,N400,EEGNet,0.6697916388511658
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,False,P3,EEGNet,0.6910156011581421
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,Interpolate,ERN,EEGNet,0.8497927784919739
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,Interpolate,LRP,EEGNet,0.7573189735412598
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,Interpolate,MMN,EEGNet,0.5536109209060669
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,Interpolate,N170,EEGNet,0.7212499976158142
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,Interpolate,N2pc,EEGNet,0.6479363441467285
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,Interpolate,N400,EEGNet,0.653333306312561
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,Interpolate,P3,EEGNet,0.6736719012260437
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,Int. or reject,ERN,EEGNet,0.8421518802642822
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,Int. or reject,LRP,EEGNet,0.7546048760414124
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,Int. or reject,MMN,EEGNet,0.5582539439201355
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,Int. or reject,N170,EEGNet,0.727034866809845
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,Int. or reject,N2pc,EEGNet,0.6474618911743164
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,Int. or reject,N400,EEGNet,0.6555261611938477
None,ICA,6 Hz,0.1 Hz,P9P10,None,400ms,Int. or reject,P3,EEGNet,0.6611223220825195
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,False,ERN,EEGNet,0.8581079840660095
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,False,LRP,EEGNet,0.7689376473426819
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,False,MMN,EEGNet,0.5664305090904236
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,False,N170,EEGNet,0.7348437309265137
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,False,N2pc,EEGNet,0.6572391986846924
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,False,N400,EEGNet,0.6691666841506958
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,False,P3,EEGNet,0.6869531273841858
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,Interpolate,ERN,EEGNet,0.8515866994857788
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,Interpolate,LRP,EEGNet,0.7524212002754211
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,Interpolate,MMN,EEGNet,0.5577929615974426
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,Interpolate,N170,EEGNet,0.7185937762260437
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,Interpolate,N2pc,EEGNet,0.6480856537818909
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,Interpolate,N400,EEGNet,0.6577083468437195
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,Interpolate,P3,EEGNet,0.6717187762260437
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,Int. or reject,ERN,EEGNet,0.8423262238502502
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,Int. or reject,LRP,EEGNet,0.7571349143981934
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,Int. or reject,MMN,EEGNet,0.5582940578460693
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,Int. or reject,N170,EEGNet,0.7106829881668091
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,Int. or reject,N2pc,EEGNet,0.6345468163490295
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,Int. or reject,N400,EEGNet,0.6602633595466614
None,ICA,6 Hz,0.1 Hz,P9P10,None,None,Int. or reject,P3,EEGNet,0.6697665452957153
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,False,ERN,EEGNet,0.867972731590271
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,False,LRP,EEGNet,0.7751840353012085
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,False,MMN,EEGNet,0.566434383392334
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,False,N170,EEGNet,0.7404687404632568
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,False,N2pc,EEGNet,0.6540968418121338
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,False,N400,EEGNet,0.6575000286102295
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,False,P3,EEGNet,0.6869531273841858
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,Interpolate,ERN,EEGNet,0.8498597145080566
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,Interpolate,LRP,EEGNet,0.7651325464248657
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,Interpolate,MMN,EEGNet,0.556614875793457
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,Interpolate,N170,EEGNet,0.7314062714576721
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,Interpolate,N2pc,EEGNet,0.6478348970413208
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,Interpolate,N400,EEGNet,0.6541666388511658
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,Interpolate,P3,EEGNet,0.6697656512260437
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,Int. or reject,ERN,EEGNet,0.8481631875038147
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,Int. or reject,LRP,EEGNet,0.7698197960853577
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,Int. or reject,MMN,EEGNet,0.5614359974861145
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,Int. or reject,N170,EEGNet,0.7343857288360596
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,Int. or reject,N2pc,EEGNet,0.6431081295013428
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,Int. or reject,N400,EEGNet,0.6488271951675415
None,ICA,6 Hz,0.1 Hz,P9P10,linear,200ms,Int. or reject,P3,EEGNet,0.6757528781890869
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,False,ERN,EEGNet,0.8666033148765564
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,False,LRP,EEGNet,0.774983286857605
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,False,MMN,EEGNet,0.5669963955879211
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,False,N170,EEGNet,0.741406261920929
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,False,N2pc,EEGNet,0.6534718871116638
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,False,N400,EEGNet,0.6589583158493042
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,False,P3,EEGNet,0.6881250143051147
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,Interpolate,ERN,EEGNet,0.8500233888626099
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,Interpolate,LRP,EEGNet,0.7644919753074646
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,Interpolate,MMN,EEGNet,0.5582975149154663
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,Interpolate,N170,EEGNet,0.7385937571525574
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,Interpolate,N2pc,EEGNet,0.6519725322723389
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,Interpolate,N400,EEGNet,0.6589583158493042
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,Interpolate,P3,EEGNet,0.6724218726158142
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,Int. or reject,ERN,EEGNet,0.8522201776504517
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,Int. or reject,LRP,EEGNet,0.7714695334434509
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,Int. or reject,MMN,EEGNet,0.5637556910514832
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,Int. or reject,N170,EEGNet,0.7348117232322693
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,Int. or reject,N2pc,EEGNet,0.6484132409095764
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,Int. or reject,N400,EEGNet,0.6484401226043701
None,ICA,6 Hz,0.1 Hz,P9P10,linear,400ms,Int. or reject,P3,EEGNet,0.6711414456367493
None,ICA,6 Hz,0.1 Hz,P9P10,linear,None,False,ERN,EEGNet,0.8624159097671509
None,ICA,6 Hz,0.1 Hz,P9P10,linear,None,False,LRP,EEGNet,0.7741979956626892
None,ICA,6 Hz,0.1 Hz,P9P10,linear,None,False,MMN,EEGNet,0.565345823764801
None,ICA,6 Hz,0.1 Hz,P9P10,linear,None,False,N170,EEGNet,0.7420312762260437
None,ICA,6 Hz,0.1 Hz,P9P10,linear,None,False,N2pc,EEGNet,0.6535499691963196
None,ICA,6 Hz,0.1 Hz,P9P10,linear,None,False,N400,EEGNet,0.6570833325386047
None,ICA,6 Hz,0.1 Hz,P9P10,linear,None,False,P3,EEGNet,0.6877343654632568
None,ICA,6 Hz,0.1 Hz,P9P10,linear,None,Interpolate,ERN,EEGNet,0.8507800698280334
None,ICA,6 Hz,0.1 Hz,P9P10,linear,None,Interpolate,LRP,EEGNet,0.7630748152732849
None,ICA,6 Hz,0.1 Hz,P9P10,linear,None,Interpolate,MMN,EEGNet,0.5602864027023315
None,ICA,6 Hz,0.1 Hz,P9P10,linear,None,Interpolate,N170,EEGNet,0.7325000166893005
None,ICA,6 Hz,0.1 Hz,P9P10,linear,None,Interpolate,N2pc,EEGNet,0.6491800546646118
None,ICA,6 Hz,0.1 Hz,P9P10,linear,None,Interpolate,N400,EEGNet,0.6499999761581421
None,ICA,6 Hz,0.1 Hz,P9P10,linear,None,Interpolate,P3,EEGNet,0.6747656464576721
